lat,lon,gym=0/ang=1,,,,,,,,,,,
19.567,98.267,1,,,,,,,,,,,
23.5,120.95,0,,,,,,,,,,,
25.267,-80.4,0,,,,,,,,,,,
26.216,15.867,1,,,,,,,,,,,
26.9,-80.067,0,,,,,,,,,,,
28.306,-16.568,0,,,,,,,,,,,
29.5,94,0,,,,,,,,,,,
29.55,101.967,0,,,,,,,,,,,
29.717,31.803,1,,,,,,,,,,,
30.28333333,99.46666667,0,,,,,,,,,,,
30.417,119.417,0,,,,,,,,,,,
30.45,77.8,0,,,,,,,,,,,
30.666,34,0,,,,,,,,,,,
31.083937,96.976387,0,,,,,,,,,,,
31.6,115.75,0,,,,,,,,,,,
32.416,77.283,0,,,,,,,,,,,
32.85,-107.58,0,,,,,,,,,,,
32.97,-5.07,0,,,,,,,,,,,
33.8,96.1333,0,,,,,,,,,,,
34.15,-118.73,1,,,,,,,,,,,
34.2,-117.75,0,,,,,,,,,,,
34.452,-111.697,0,,,,,,,,,,,
34.896,-111.825,0,,,,,,,,,,,
35.019,-112.819,0,,,,,,,,,,,
35.18,-111.488,0,,,,,,,,,,,
35.3,135.717,1,,,,,,,,,,,
35.44,139.231,0,,,,,,,,,,,
35.72,-109.363,0,,,,,,,,,,,
35.74,74.59,0,,,,,,,,,,,
35.9,74.56,0,,,,,,,,,,,
36.37,74.99,0,,,,,,,,,,,
36.668,54.533,0,,,,,,,,,,,
36.668,54.567,1,,,,,,,,,,,
36.816,-107.46,0,,,,,,,,,,,
37.168,-110,0,,,,,,,,,,,
37.433,-118.167,0,,,,,,,,,,,
37.433,98.05,0,,,,,,,,,,,
37.4333,-118.116,0,,,,,,,,,,,
37.4333,98.03,0,,,,,,,,,,,
37.44,-112.466,0,,,,,,,,,,,
37.45,-118.167,0,,,,,,,,,,,
37.45,-118.116,0,,,,,,,,,,,
37.5,-108.333,0,,,,,,,,,,,
37.526,-118.218,0,,,,,,,,,,,
37.533,-118.216,0,,,,,,,,,,,
38.26,99.933,0,,,,,,,,,,,
38.6,99.867,0,,,,,,,,,,,
38.617,-118.617,0,,,,,,,,,,,
